season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2012-2013,Liga FUTVE,Apertura,Jornada 1,2q1B7fxI,2012-08-11T19:30:00+00:00,2012-08-11T15:30:00-04:00,La Guaira,Estudiantes M.,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 1,A94J5Y6U,2012-08-11T20:00:00+00:00,2012-08-11T16:00:00-04:00,Portuguesa,Trujillanos,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 1,2ctpMgiB,2012-08-11T21:30:00+00:00,2012-08-11T17:30:00-04:00,Monagas,Yaracuyanos,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 1,4CNtNZy5,2012-08-11T22:30:00+00:00,2012-08-11T18:30:00-04:00,Lara,Dep. Anzoátegui,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 1,zXVPQHxt,2012-08-12T20:00:00+00:00,2012-08-12T16:00:00-04:00,Zulia,Atl. Venezuela,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 1,MmYyOFMb,2012-08-12T20:30:00+00:00,2012-08-12T16:30:00-04:00,Dep. Táchira,Llaneros,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 1,rcZXOe7h,2012-08-12T20:30:00+00:00,2012-08-12T16:30:00-04:00,El Vigía,Aragua,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 1,ENUTPyhn,2012-08-12T21:30:00+00:00,2012-08-12T17:30:00-04:00,Caracas,Zamora,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 1,d60F6EiO,2012-08-14T23:30:00+00:00,2012-08-14T19:30:00-04:00,Mineros,Miranda,1,3,A,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
2012-2013,Liga FUTVE,Apertura,Jornada 2,dKulLD6H,2012-08-18T20:00:00+00:00,2012-08-18T16:00:00-04:00,Atl. Venezuela,El Vigía,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2012-2013/resultados/
