season,competition,phase,round,match_id,match_date_utc,match_date_local,home_team,away_team,home_score,away_score,result,source_url
2020,Liga FUTVE,Primera fase,Jornada 1,2cGU0ou9,2020-01-30T21:00:00+00:00,2020-01-30T17:00:00-04:00,Portuguesa,Mineros,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 1,pM5Za5fF,2020-01-31T15:00:00+00:00,2020-01-31T11:00:00-04:00,Metropolitanos,Aragua,1,3,A,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 1,OC4waP9L,2020-01-31T23:00:00+00:00,2020-01-31T19:00:00-04:00,Lara,Zulia,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 1,hn9sbqPR,2020-02-01T19:30:00+00:00,2020-02-01T15:30:00-04:00,Yaracuyanos,Atl. Venezuela,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 1,xKpEhNnk,2020-02-01T20:00:00+00:00,2020-02-01T16:00:00-04:00,AC Lala FC,Monagas,1,1,D,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 1,fee9g3Xr,2020-02-01T23:00:00+00:00,2020-02-01T19:00:00-04:00,Dep. Táchira,Puerto Cabello,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 1,pplMj1H1,2020-02-02T19:30:00+00:00,2020-02-02T15:30:00-04:00,Carabobo,Gran Valencia,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 1,jNlIis2e,2020-02-02T22:15:00+00:00,2020-02-02T18:15:00-04:00,Caracas,Estudiantes M.,5,1,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 1,OzmQkLW7,2020-02-03T22:00:00+00:00,2020-02-03T18:00:00-04:00,Zamora,Trujillanos,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 2,hU1h6UmT,2020-02-07T20:00:00+00:00,2020-02-07T16:00:00-04:00,Trujillanos,Lara,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 2,bBvL1ldp,2020-02-07T23:00:00+00:00,2020-02-07T19:00:00-04:00,Puerto Cabello,Zamora,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 2,6D3p8jJG,2020-02-08T15:00:00+00:00,2020-02-08T11:00:00-04:00,Caracas,La Guaira,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 2,xYBTBYJi,2020-02-08T19:30:00+00:00,2020-02-08T15:30:00-04:00,Gran Valencia,Yaracuyanos,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 2,CErP08Bj,2020-02-08T22:00:00+00:00,2020-02-08T18:00:00-04:00,Aragua,Dep. Táchira,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 2,SM4t9W3A,2020-02-09T15:00:00+00:00,2020-02-09T11:00:00-04:00,Estudiantes M.,AC Lala FC,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 2,bsDPCE4o,2020-02-09T20:00:00+00:00,2020-02-09T16:00:00-04:00,Atl. Venezuela,Metropolitanos,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 2,pbFyACl4,2020-02-09T21:00:00+00:00,2020-02-09T17:00:00-04:00,Monagas,Portuguesa,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 2,WfBXAhZc,2020-02-10T22:00:00+00:00,2020-02-10T18:00:00-04:00,Mineros,Carabobo,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 3,hMijOHR4,2020-02-14T20:00:00+00:00,2020-02-14T16:00:00-04:00,Yaracuyanos,Mineros,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 3,pdhnPcCb,2020-02-15T15:00:00+00:00,2020-02-15T11:00:00-04:00,Atl. Venezuela,Gran Valencia,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 3,Svp3LFBN,2020-02-15T20:00:00+00:00,2020-02-15T16:00:00-04:00,AC Lala FC,La Guaira,1,2,A,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 3,tbYYTeH9,2020-02-15T23:00:00+00:00,2020-02-15T19:00:00-04:00,Zamora,Aragua,1,0,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 3,M1q7KZQT,2020-02-16T15:00:00+00:00,2020-02-16T11:00:00-04:00,Caracas,Zulia,4,0,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 3,WCjfNysB,2020-02-16T20:00:00+00:00,2020-02-16T16:00:00-04:00,Carabobo,Monagas,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 3,0SEHvwCo,2020-02-16T21:00:00+00:00,2020-02-16T17:00:00-04:00,Dep. Táchira,Metropolitanos,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 3,EytaMedH,2020-02-16T21:00:00+00:00,2020-02-16T17:00:00-04:00,Portuguesa,Estudiantes M.,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 3,OAVYFgZp,2020-02-17T23:00:00+00:00,2020-02-17T19:00:00-04:00,Lara,Puerto Cabello,3,1,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 4,YukHSWIj,2020-02-21T23:00:00+00:00,2020-02-21T19:00:00-04:00,Dep. Táchira,Zamora,0,2,A,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 4,Sv6YzeBA,2020-02-22T15:00:00+00:00,2020-02-22T11:00:00-04:00,Estudiantes M.,Carabobo,4,0,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 4,vJDLwcRi,2020-02-22T20:00:00+00:00,2020-02-22T16:00:00-04:00,Metropolitanos,Gran Valencia,2,1,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 4,KxoDTC3p,2020-02-22T21:00:00+00:00,2020-02-22T17:00:00-04:00,Aragua,Lara,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 4,Ee8pYheT,2020-02-23T15:00:00+00:00,2020-02-23T11:00:00-04:00,La Guaira,Portuguesa,2,0,H,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 4,z59tZYuN,2020-02-23T20:00:00+00:00,2020-02-23T16:00:00-04:00,Trujillanos,Caracas,0,0,D,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
2020,Liga FUTVE,Primera fase,Jornada 4,pGGTyyd4,2020-02-23T21:00:00+00:00,2020-02-23T17:00:00-04:00,Mineros,Atl. Venezuela,0,1,A,https://ve.soccerway.com/venezuela/liga-futve-2020/resultados/
